Shares,Risk,Return,Location,Sector
treasury1,FALSE,5.29,EU,bonds
treasury2,FALSE,2.8,USA,bonds
treasury3,FALSE,3.59,NaN,bonds
treasury4,FALSE,6.97,APAC,bonds
treasury5,FALSE,3.3,APAC,bonds
hardware1,TRUE,10.26,USA,technology
hardware2,TRUE,10.13,USA,technology
hardware3,TRUE,11.59,USA,technology
hardware4,TRUE,13.37,APAC,technology
hardware5,TRUE,13.13,EU,technology
theater1,TRUE,17.37,APAC,entertainment
theater2,TRUE,26.35,APAC,entertainment
theater3,TRUE,24.95,NaN,entertainment
theater4,TRUE,32.28,USA,entertainment
theater5,TRUE,21.04,APAC,entertainment
telecom1,TRUE,6.57,USA,telecom
telecom2,TRUE,11.99,EU,telecom
telecom3,TRUE,17.54,APAC,telecom
telecom4,TRUE,13.07,EU,telecom
telecom5,TRUE,9.03,APAC,telecom
brewery1,FALSE,11.11,USA,food
brewery2,FALSE,5.97,APAC,food
brewery3,FALSE,7.23,USA,food
brewery4,FALSE,10.65,APAC,food
brewery5,FALSE,5.2,NaN,food
highways1,FALSE,9.36,NaN,construction
highways2,FALSE,8.94,USA,construction
highways3,FALSE,8.65,EU,construction
highways4,FALSE,12.77,USA,construction
highways5,FALSE,10.98,EU,construction
cars1,FALSE,6.35,APAC,manufacturing
cars2,FALSE,10.49,USA,manufacturing
cars3,FALSE,7.18,EU,manufacturing
cars4,FALSE,3.81,USA,manufacturing
cars5,FALSE,3.56,APAC,manufacturing
bank1,FALSE,7.94,APAC,finance
bank2,FALSE,6.23,APAC,finance
bank3,FALSE,5.55,USA,finance
bank4,FALSE,8.3,EU,finance
bank5,FALSE,6.97,EU,finance
software1,TRUE,34.08,EU,technology
software2,TRUE,36.22,NaN,technology
software3,TRUE,34.4,NaN,technology
software4,TRUE,45.07,EU,technology
software5,TRUE,24.07,NaN,technology
electronics1,TRUE,24.3,EU,technology
electronics2,TRUE,12.52,EU,technology
electronics3,TRUE,15.71,EU,technology
electronics4,TRUE,28.66,APAC,technology
electronics5,TRUE,13.81,APAC,technology
